kernel,passed,run_id,failed_stage,failure_reason,failure_kind,speedup_vs_torch_compile,speedup_vs_reference,below_target,baseline_status,artifacts_dir,regression
add_relu_fp32,true,03dd2e5c182f,,,,1.00,1.68,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/add_relu_fp32/03dd2e5c182f,
argmax_fp32,true,3dead0ddb25e,,,,1.06,1.26,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/argmax_fp32/3dead0ddb25e,
bias_gelu_fp16,true,a1100df16736,,,,1.03,1.71,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/bias_gelu_fp16/a1100df16736,
clamp_fp32,true,42a5d8b02d47,,,,1.01,1.03,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/clamp_fp32/42a5d8b02d47,
cumulative_max_fp32,true,5f947ee57256,,,,1.45,4.39,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/cumulative_max_fp32/5f947ee57256,
dropout_fp16,true,ebfbf319894f,,,,1.08,3.97,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/dropout_fp16/ebfbf319894f,
geglu_fp16,true,98f114450d1b,,,,1.02,1.67,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/geglu_fp16/98f114450d1b,
gelu_fp16,true,4195dcc19641,,,,0.67,0.67,true,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/gelu_fp16/4195dcc19641,
l2_norm_fp32,true,a2d9d0099bc6,,,,1.13,3.14,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/l2_norm_fp32/a2d9d0099bc6,
layernorm_fp16,true,b218a03dcb37,,,,1.05,16.87,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/layernorm_fp16/b218a03dcb37,
layernorm_silu_fused_fp16,true,84a547f56554,,,,1.08,19.02,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/layernorm_silu_fused_fp16/84a547f56554,
masked_mean_fp16,true,63e7aab24a8b,,,,2.57,33.86,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/masked_mean_fp16/63e7aab24a8b,
max_lastdim_fp32,true,f0ae6a88bd12,,,,1.08,1.38,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/max_lastdim_fp32/f0ae6a88bd12,
mean_lastdim_fp32,true,2b727e56ff1c,,,,1.10,1.16,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/mean_lastdim_fp32/2b727e56ff1c,
min_lastdim_fp32,true,61b1cd53efb3,,,,1.10,1.33,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/min_lastdim_fp32/61b1cd53efb3,
prefix_sum_fp32,true,0f30c9af9786,,,,0.95,2.40,true,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/prefix_sum_fp32/0f30c9af9786,
relu_bias_fp32,true,d60048a8029e,,,,0.98,1.65,true,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/relu_bias_fp32/d60048a8029e,
rms_norm_fp16,true,7ca9ca095076,,,,0.75,6.94,true,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/rms_norm_fp16/7ca9ca095076,
rmsnorm_silu_fused_fp16,true,40b8e89fffe3,,,,1.04,11.76,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/rmsnorm_silu_fused_fp16/40b8e89fffe3,
scalar_multiply_fp32,true,7a3ecab3d7b5,,,,1.01,1.03,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/scalar_multiply_fp32/7a3ecab3d7b5,
segment_sum_fp32,true,60d650edda86,,,,1.01,2.92,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/segment_sum_fp32/60d650edda86,
sigmoid_mul_fp16,true,5440c01c25dd,,,,1.01,1.68,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/sigmoid_mul_fp16/5440c01c25dd,
silu_fp16,true,79df0d73c365,,,,1.07,2.44,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/silu_fp16/79df0d73c365,
softmax_lastdim_fp16,true,fc2ece7b329e,,,,1.33,1.46,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/softmax_lastdim_fp16/fc2ece7b329e,
softmax_numerator_fp16,true,d6218c9d2433,,,,1.04,10.01,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/softmax_numerator_fp16/d6218c9d2433,
sum_reduction_fp32,true,31c1c0fec4b7,,,,1.10,1.19,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/sum_reduction_fp32/31c1c0fec4b7,
swiglu_fp16,true,a955d03e071a,,,,1.00,1.67,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/swiglu_fp16/a955d03e071a,
tanh_add_fp32,true,eb1463fc5874,,,,0.99,1.66,true,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/tanh_add_fp32/eb1463fc5874,
topk_fp32,true,d0b92fcdfc55,,,,12.47,11.97,false,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/topk_fp32/d0b92fcdfc55,
vector_add_fp32,true,b7cd8e0623c6,,,,0.98,1.00,true,ok,/content/drive/MyDrive/cuda-engine-evals/2026-06-01-191749/artifacts/vector_add_fp32/b7cd8e0623c6,
